Weight,,Weight/sub,GID,25
,,,Comment,
,,,Evaluator,KS
,,,Discount factor,1
,,,Grade,87
100,# sub_results,,Raw points,87
5,5,1.00,Build,5
5,1,5.00,Report,1
10,1,10.00,%LT,1
10,1,10.00,%LM,1
6,12,0.50,TS300-TF0,12
6.5,13,0.50,TS300-TF1,13
4,4,1.00,TS310-TF0,4
4,4,1.00,TS310-TF1,4
4,4,1.00,TS310-TF2,0
5,5,1.00,TS310-TF3,0
4.5,9,0.50,TS320-TF0,9
4,8,0.50,TS320-TF1,8
3.5,7,0.50,TS330-TF0,3
0,4,0.00,TS331-TF0,
2,1,2.00,TS332-TF0,0
5.5,11,0.50,TS340-TF0,11
6,12,0.50,TS340-TF1,12
2,1,2.00,TS350-TF0,1
3,3,1.00,TS350-TF1,3
3,3,1.00,TS350-TF2,3
5,10,0.50,TS360-TF0,10
2,8,0.25,TS360-TF1,8
,,-1.00,Code fix penalty,
,1,1.00,bonus,
,,,,
,,,,
,,,,
